grade,min,max,supplement,location
5,39002,50701,0.38,"Huntsville, AL"
7,46562,60531,0.33,"Huntsville, AL"
9,55670,72366,0.30,"Huntsville, AL"
11,61137,79478,0.18,"Huntsville, AL"
5,39002,50701,0.38,"Phoenix, AZ"
7,46562,60531,0.33,"Phoenix, AZ"
9,55670,72366,0.30,"Phoenix, AZ"
11,61137,79478,0.18,"Phoenix, AZ"
5,39002,50701,0.38,"Tucson, AZ"
7,46562,60531,0.33,"Tucson, AZ"
9,55670,72366,0.30,"Tucson, AZ"
11,61137,79478,0.18,"Tucson, AZ"
5,40980,53273,0.45,"Los Angeles, CA"
7,49013,63717,0.40,"Los Angeles, CA"
9,57811,75149,0.35,"Los Angeles, CA"
5,42110,54743,0.49,"Oakland, CA"
7,50413,65537,0.44,"Oakland, CA"
9,59524,77376,0.39,"Oakland, CA"
5,39567,51436,0.40,"Sacramento, CA"
7,47262,61441,0.35,"Sacramento, CA"
9,55670,72366,0.30,"Sacramento, CA"
11,62173,80825,0.20,"Sacramento, CA"
5,39567,51436,0.40,"San Diego, CA"
7,47262,61441,0.35,"San Diego, CA"
9,55670,72366,0.30,"San Diego, CA"
11,62173,80825,0.20,"San Diego, CA"
5,42110,54743,0.49,"San Francisco, CA"
7,50413,65537,0.44,"San Francisco, CA"
9,59524,77376,0.39,"San Francisco, CA"
5,39002,50701,0.38,"Colorado Springs, CO"
7,46562,60531,0.33,"Colorado Springs, CO"
9,55670,72366,0.30,"Colorado Springs, CO"
11,61137,79478,0.18,"Colorado Springs, CO"
5,40415,52538,0.43,"Denver, CO"
7,48312,62807,0.38,"Denver, CO"
9,56955,74036,0.33,"Denver, CO"
11,63728,82845,0.23,"Denver, CO"
5,40415,52538,0.43,"Hartford, CT"
7,48312,62807,0.38,"Hartford, CT"
9,56955,74036,0.33,"Hartford, CT"
11,63728,82845,0.23,"Hartford, CT"
5,39567,51436,0.40,"Washington, DC"
7,47262,61441,0.35,"Washington, DC"
9,55670,72366,0.30,"Washington, DC"
11,62173,80825,0.20,"Washington, DC"
5,39002,50701,0.38,"Melbourne, FL"
7,46562,60531,0.33,"Melbourne, FL"
9,55670,72366,0.30,"Melbourne, FL"
11,61137,79478,0.18,"Melbourne, FL"
5,39567,51436,0.40,"Miami, FL"
7,47262,61441,0.35,"Miami, FL"
9,55670,72366,0.30,"Miami, FL"
11,62173,80825,0.20,"Miami, FL"
5,39002,50701,0.38,"Atlanta, GA"
